Date,precip_in,tmean_c
10/1/1975,1.84,14.5
11/1/1975,0.29,10.66666667
12/1/1975,0.26,9.722222222
1/1/1976,0.16,10.27777778
2/1/1976,1,9.166666667
3/1/1976,2.15,9.888888889
4/1/1976,1.02,10.77777778
5/1/1976,0,17.05555556
6/1/1976,0.05,18.77777778
7/1/1976,0,21.55555556
8/1/1976,1.1,18.61111111
9/1/1976,2.21,19.94444444
10/1/1976,1.08,17.94444444
11/1/1976,1.61,15
12/1/1976,1.28,10.83333333
1/1/1977,1.54,8.777777778
2/1/1977,1.09,11.66666667
3/1/1977,1.85,8.888888889
4/1/1977,0,13.94444444
5/1/1977,1.52,11.61111111
6/1/1977,0.1,20.22222222
7/1/1977,0,21.38888889
8/1/1977,0,22.11111111
9/1/1977,0.48,18.94444444
10/1/1977,0.1,17.5
11/1/1977,2.05,12.94444444
12/1/1977,5.03,11.05555556
1/1/1978,8.03,9.722222222
2/1/1978,5.42,9.888888889
3/1/1978,6.43,12.94444444
4/1/1978,4.35,10.72222222
5/1/1978,0,16.61111111
6/1/1978,0,18.94444444
7/1/1978,0,22.11111111
8/1/1978,0,22.05555556
9/1/1978,0.44,19.66666667
10/1/1978,0,19.44444444
11/1/1978,2.49,10.83333333
12/1/1978,1.41,7.333333333
1/1/1979,5.05,7
2/1/1979,5.71,8.111111111
3/1/1979,3.08,10.83333333
4/1/1979,0.93,11.72222222
5/1/1979,0.34,16.77777778
6/1/1979,0,20.38888889
7/1/1979,0.16,21.88888889
8/1/1979,0,20.27777778
9/1/1979,0,22.27777778
10/1/1979,2.35,16.38888889
11/1/1979,1.89,11.77777778
12/1/1979,4.92,10.88888889
1/1/1980,6.09,9.888888889
2/1/1980,8.21,11.22222222
3/1/1980,2.25,9.944444444
4/1/1980,2.05,12.61111111
5/1/1980,0.33,13.72222222
6/1/1980,0,16.61111111
7/1/1980,0.68,21.77777778
8/1/1980,0,20.94444444
9/1/1980,0,20.05555556
10/1/1980,0,18.55555556
11/1/1980,0.13,13.61111111
12/1/1980,2.64,10.94444444
1/1/1981,6.59,10.16666667
2/1/1981,1.52,10.66666667
3/1/1981,4.08,9.944444444
4/1/1981,0.43,12.94444444
5/1/1981,0.15,15.55555556
6/1/1981,0,22
7/1/1981,0,22.66666667
8/1/1981,0,22.27777778
9/1/1981,0,21.16666667
10/1/1981,1.98,15
11/1/1981,6.25,12.83333333
12/1/1981,3.12,10.11111111
1/1/1982,7.71,6.888888889
2/1/1982,3.16,10.11111111
3/1/1982,6.26,8.777777778
4/1/1982,5.2,11.05555556
5/1/1982,0,16
6/1/1982,0.28,16.77777778
7/1/1982,0,20.66666667
8/1/1982,0,21.16666667
9/1/1982,1.43,18.61111111
10/1/1982,2.26,15.66666667
11/1/1982,6.09,10.94444444
12/1/1982,4.27,8.722222222
1/1/1983,8.42,9.611111111
2/1/1983,5.95,10.11111111
3/1/1983,8.89,10.33333333
4/1/1983,4.15,10.05555556
5/1/1983,0.38,15.66666667
6/1/1983,0,18.33333333
7/1/1983,0,19.77777778
8/1/1983,0.2,21.61111111
9/1/1983,0.45,21.72222222
10/1/1983,0.94,17.22222222
11/1/1983,7.82,11.05555556
12/1/1983,5.36,9.388888889
1/1/1984,0.24,10.33333333
2/1/1984,1.85,9.777777778
3/1/1984,1.75,12.61111111
4/1/1984,0.73,11.61111111
5/1/1984,0,18.16666667
6/1/1984,0,19.16666667
7/1/1984,0,23.5
8/1/1984,0,22.05555556
9/1/1984,0,23
10/1/1984,1.36,14.16666667
11/1/1984,5.83,10
12/1/1984,1.87,7.222222222
1/1/1985,0.93,7.888888889
2/1/1985,2.16,9.777777778
3/1/1985,4.23,8.277777778
4/1/1985,0.56,14.77777778
5/1/1985,0.17,14.11111111
6/1/1985,0.08,21.33333333
7/1/1985,0.01,22.94444444
8/1/1985,0,20.22222222
9/1/1985,0.3,17.33333333
10/1/1985,0.97,15.83333333
11/1/1985,4.93,10.38888889
12/1/1985,2.6,8.166666667
1/1/1986,2.44,11.72222222
2/1/1986,11.44,10.61111111
3/1/1986,6.06,13.44444444
4/1/1986,0.68,12.44444444
5/1/1986,0.2,15.5
6/1/1986,0,19.55555556
7/1/1986,0,20.33333333
8/1/1986,0,22.44444444
9/1/1986,1.18,16.55555556
10/1/1986,0,16.66666667
11/1/1986,0.11,13.44444444
12/1/1986,1.11,9.333333333
1/1/1987,2.35,7.444444444
2/1/1987,4.5,9.444444444
3/1/1987,2.82,10.38888889
4/1/1987,0.24,15.22222222
5/1/1987,0.13,17.05555556
6/1/1987,0,19.5
7/1/1987,0,18.61111111
8/1/1987,0,21.16666667
9/1/1987,0,20.83333333
10/1/1987,0.85,18.61111111
11/1/1987,1.23,11.38888889
12/1/1987,3.62,6.888888889
1/1/1988,2.08,8.611111111
2/1/1988,0.46,11.5
3/1/1988,0.34,12.16666667
4/1/1988,2.07,13.11111111
5/1/1988,0.72,14.11111111
6/1/1988,0.18,19.11111111
7/1/1988,0,24.05555556
8/1/1988,0,22.88888889
9/1/1988,0,22.11111111
10/1/1988,0,19.5
11/1/1988,3.28,12.16666667
12/1/1988,3.73,8.444444444
1/1/1989,1.59,8.722222222
2/1/1989,1.24,8.444444444
3/1/1989,3.78,12.11111111
4/1/1989,0.31,15.5
5/1/1989,0.11,16.66666667
6/1/1989,0,19.61111111
7/1/1989,0,21.38888889
8/1/1989,0,20.16666667
9/1/1989,1.56,19.05555556
10/1/1989,1.23,16.27777778
11/1/1989,1.57,12.88888889
12/1/1989,0,10.61111111
1/1/1990,2.93,8.333333333
2/1/1990,3.41,7.277777778
3/1/1990,1.35,11.27777778
4/1/1990,0.23,14.72222222
5/1/1990,2.44,14.66666667
6/1/1990,0,18.66666667
7/1/1990,0,22.44444444
8/1/1990,0,21
9/1/1990,0.76,19.88888889
10/1/1990,0,18.66666667
11/1/1990,0.35,12.38888889
12/1/1990,1.33,6.055555556
1/1/1991,0.19,9.055555556
2/1/1991,2.31,12.38888889
3/1/1991,11.56,7.888888889
4/1/1991,0.3,10.55555556
5/1/1991,0.1,13.27777778
6/1/1991,0.02,16.83333333
7/1/1991,0,22.05555556
8/1/1991,0,20.38888889
9/1/1991,0.01,21.77777778
10/1/1991,1.35,19.83333333
11/1/1991,0.56,13.16666667
12/1/1991,3.31,9.055555556
1/1/1992,1.58,8.944444444
2/1/1992,7.06,11.05555556
3/1/1992,2.94,11.5
4/1/1992,0.14,14.94444444
5/1/1992,0,18.55555556
6/1/1992,0.19,18.22222222
7/1/1992,0,20.77777778
8/1/1992,0,22.66666667
9/1/1992,0,21.11111111
10/1/1992,1.2,18.22222222
11/1/1992,0.09,12.38888889
12/1/1992,6.49,7.166666667
1/1/1993,10.01,7.5
2/1/1993,6.27,8.722222222
3/1/1993,2.98,12.61111111
4/1/1993,0.67,11.88888889
5/1/1993,0.73,15.16666667
6/1/1993,0.75,18.27777778
7/1/1993,0,20.61111111
8/1/1993,0,21.38888889
9/1/1993,0,20.5
10/1/1993,0.42,17.44444444
11/1/1993,1.36,12.27777778
12/1/1993,1.88,8.944444444
1/1/1994,1.88,9.166666667
2/1/1994,4.19,8.111111111
3/1/1994,0.49,12.44444444
4/1/1994,1.61,12.55555556
5/1/1994,1.2,14.88888889
6/1/1994,0,18.72222222
7/1/1994,0,21.94444444
8/1/1994,0,21.88888889
9/1/1994,0.04,20.05555556
10/1/1994,0.64,15.55555556
11/1/1994,3.99,8.055555556
12/1/1994,1.82,8.388888889
1/1/1995,11.2,9.444444444
2/1/1995,0.57,12.38888889
3/1/1995,10.15,10.33333333
4/1/1995,2.16,11.38888889
5/1/1995,1.31,13.61111111
6/1/1995,0.63,17.55555556
7/1/1995,0,21.22222222
8/1/1995,0,22.05555556
9/1/1995,0,21
10/1/1995,0,18.16666667
11/1/1995,0.19,15.61111111
12/1/1995,6.66,10.5
1/1/1996,5.1,10.05555556
2/1/1996,8.64,11.33333333
3/1/1996,3.2,12
4/1/1996,1.31,13.61111111
5/1/1996,1.97,16.27777778
6/1/1996,0,19.77777778
7/1/1996,0,24.27777778
8/1/1996,0,22.72222222
9/1/1996,0,19.66666667
10/1/1996,1.34,15.94444444
11/1/1996,4.54,12.44444444
12/1/1996,9.07,10.05555556
1/1/1997,12.2,9.444444444
2/1/1997,0.24,9.722222222
3/1/1997,0.21,13.5
4/1/1997,0.34,13.11111111
5/1/1997,0.21,18.44444444
6/1/1997,0.07,18.16666667
7/1/1997,0,21.27777778
8/1/1997,0.38,21.16666667
9/1/1997,0,21.11111111
10/1/1997,0.54,15.94444444
11/1/1997,5.56,13.77777778
12/1/1997,3.53,8.333333333
1/1/1998,7.87,9.833333333
2/1/1998,13.51,8.055555556
3/1/1998,3.05,11.27777778
4/1/1998,1.86,10.83333333
5/1/1998,2.57,11.27777778
6/1/1998,0.19,16.16666667
7/1/1998,0,21.72222222
8/1/1998,0,23.72222222
9/1/1998,0.22,20.61111111
10/1/1998,0.53,15.05555556
11/1/1998,3.11,10.72222222
12/1/1998,2.32,7.111111111
1/1/1999,4.59,9.111111111
2/1/1999,4.88,7.888888889
3/1/1999,2.6,8.555555556
4/1/1999,2.13,10.72222222
5/1/1999,0.02,13.16666667
6/1/1999,0.11,17.33333333
7/1/1999,0,20.38888889
8/1/1999,0,20.05555556
9/1/1999,0,21.11111111
10/1/1999,0.09,19.33333333
11/1/1999,2.33,13.38888889
12/1/1999,0.53,10.5
1/1/2000,6.46,9.555555556
2/1/2000,7.46,9.388888889
3/1/2000,2.16,10.72222222
4/1/2000,1.04,13.44444444
5/1/2000,0.72,15.55555556
6/1/2000,0.26,19.83333333
7/1/2000,0,19.38888889
8/1/2000,0,21.5
9/1/2000,0.14,19.5
10/1/2000,2.43,15.27777778
11/1/2000,0.68,9.777777778
12/1/2000,0.53,10.83333333
1/1/2001,3.93,8.666666667
2/1/2001,4.93,8
3/1/2001,2.29,12.33333333
4/1/2001,1.71,9.944444444
5/1/2001,0,19.66666667
6/1/2001,0,20.33333333
7/1/2001,0,21
8/1/2001,0,21.44444444
9/1/2001,0.1,20.05555556
10/1/2001,0.25,18.66666667
11/1/2001,3.82,12.94444444
12/1/2001,6.18,8.166666667
1/1/2002,1.38,7.722222222
2/1/2002,1.33,10.27777778
3/1/2002,2.61,10.16666667
4/1/2002,0.25,12.22222222
5/1/2002,0.79,14.55555556
6/1/2002,0,18.94444444
7/1/2002,0,22.11111111
8/1/2002,0,21
9/1/2002,0,21.5
10/1/2002,0,16.38888889
11/1/2002,3.36,13.88888889
12/1/2002,8.48,9.555555556
1/1/2003,1.4,12.61111111
2/1/2003,1.58,9.444444444
3/1/2003,1.54,11.33333333
4/1/2003,3.17,9.333333333
5/1/2003,1.09,15.38888889
6/1/2003,0,19.05555556
7/1/2003,0,24.16666667
8/1/2003,0.51,20.77777778
9/1/2003,0,21.72222222
10/1/2003,0.01,19.66666667
11/1/2003,2.02,10.44444444
12/1/2003,6.46,9.222222222
1/1/2004,2.28,8.333333333
2/1/2004,4.87,8.833333333
3/1/2004,0.46,15.11111111
4/1/2004,0.09,14
5/1/2004,0.08,15.33333333
6/1/2004,0,18.5
7/1/2004,0,21.16666667
8/1/2004,0,21.05555556
9/1/2004,0.15,21.05555556
10/1/2004,3.36,15.16666667
11/1/2004,1.34,10.94444444
12/1/2004,5.48,9.5
1/1/2005,5.66,9
2/1/2005,5.45,10.27777778
3/1/2005,5.23,12.27777778
4/1/2005,1.62,11.33333333
5/1/2005,1.62,15.16666667
6/1/2005,0.46,16.72222222
7/1/2005,0,23.66666667
8/1/2005,0,23.05555556
9/1/2005,0,18.66666667
10/1/2005,0.06,16.44444444
11/1/2005,0.65,14.27777778
12/1/2005,7.86,10.72222222
1/1/2006,4.75,9.5
2/1/2006,1.41,11.05555556
3/1/2006,6.33,7.611111111
4/1/2006,4.83,10.83333333
5/1/2006,0.71,16.66666667
6/1/2006,0,20.66666667
7/1/2006,0,24.88888889
8/1/2006,0,20.66666667
9/1/2006,0,20.61111111
10/1/2006,0.1,16
11/1/2006,1.33,12.16666667
12/1/2006,3.14,9.333333333
1/1/2007,0.69,8.166666667
2/1/2007,4.39,9.5
3/1/2007,0.45,13.27777778
4/1/2007,1.01,12.88888889
5/1/2007,0.1,16
6/1/2007,0,19.05555556
7/1/2007,0,21
8/1/2007,0,21.61111111
9/1/2007,0.36,18.27777778
10/1/2007,0.88,15.5
11/1/2007,0.73,14.44444444
12/1/2007,2.19,7.5
1/1/2008,8.38,7.222222222
2/1/2008,3.31,9.055555556
3/1/2008,0.19,11.11111111
4/1/2008,0.04,11.66666667
5/1/2008,0,15.66666667
6/1/2008,0.01,20.11111111
7/1/2008,0,21.72222222
8/1/2008,0,22.55555556
9/1/2008,0,21.55555556
10/1/2008,0.33,18.61111111
11/1/2008,2.03,13.94444444
12/1/2008,2.35,8.055555556
1/1/2009,1.72,10.88888889
2/1/2009,6.33,9.111111111
3/1/2009,2.96,10.44444444
4/1/2009,0.61,12.05555556
5/1/2009,0.62,17.33333333
6/1/2009,0.02,17.83333333
7/1/2009,0,22.27777778
8/1/2009,0,22
9/1/2009,0.19,22.16666667
10/1/2009,5.69,15.27777778
11/1/2009,0.25,12.61111111
12/1/2009,3.67,8.277777778
1/1/2010,7.27,9.555555556
2/1/2010,3.22,9.555555556
3/1/2010,1.99,10.61111111
4/1/2010,4.42,10
5/1/2010,0.73,12.72222222
6/1/2010,0,18.44444444
7/1/2010,0,20.94444444
8/1/2010,0,19.66666667
9/1/2010,0,20.83333333
10/1/2010,1.4,16.61111111
11/1/2010,3.01,11.33333333
12/1/2010,6.3,9.166666667
1/1/2011,1.78,9.555555556
2/1/2011,5.06,7.944444444
3/1/2011,6.59,9.222222222
4/1/2011,0.29,11.27777778
5/1/2011,0.99,12.5
6/1/2011,0.83,16.72222222
7/1/2011,0,20.72222222
8/1/2011,0,21.22222222
9/1/2011,0,22.16666667
10/1/2011,1.05,17.38888889
11/1/2011,1.6,10.88888889
12/1/2011,0.07,9.111111111
1/1/2012,3.39,10.55555556
2/1/2012,0.91,9.777777778
3/1/2012,4.09,9.222222222
4/1/2012,3.17,12.22222222
5/1/2012,0.02,15.77777778
6/1/2012,0.26,18.16666667
7/1/2012,0,20.72222222
8/1/2012,0,22.77777778
9/1/2012,0,21.5
10/1/2012,0.37,17.22222222
11/1/2012,2.56,13.05555556
12/1/2012,9.49,8.333333333
1/1/2013,0.75,8.166666667
2/1/2013,0.34,9
3/1/2013,0.78,12.44444444
4/1/2013,0.37,14.55555556
5/1/2013,0,15.66666667
6/1/2013,0.01,19.44444444
7/1/2013,0,22.88888889
8/1/2013,0,20.44444444
9/1/2013,0.19,19.16666667
10/1/2013,0.04,16.55555556
11/1/2013,0.65,13.72222222
12/1/2013,0.66,9.944444444
1/1/2014,0.11,13.5
2/1/2014,4.12,10.77777778
3/1/2014,2.94,13
4/1/2014,1.47,13.33333333
5/1/2014,0,17.05555556
6/1/2014,0,19.61111111
7/1/2014,0,22.94444444
8/1/2014,0,21.61111111
9/1/2014,0.2,21.05555556
10/1/2014,0.11,19.33333333
11/1/2014,2.18,14.11111111
12/1/2014,9.79,10.72222222
1/1/2015,0,11.83333333
2/1/2015,3.42,13.5
3/1/2015,0.43,14.83333333
4/1/2015,1.14,13.05555556
5/1/2015,0.57,13.88888889
6/1/2015,0,20.77777778
7/1/2015,0.01,21.5
8/1/2015,0.04,21.61111111
9/1/2015,0,21.94444444
10/1/2015,0.29,19.55555556
11/1/2015,3.39,11.22222222
12/1/2015,4.03,8
1/1/2016,6.48,9.5
2/1/2016,1.45,13
3/1/2016,6.76,12.16666667
4/1/2016,1.52,13.77777778
5/1/2016,0.48,15.55555556
6/1/2016,0,21.11111111
7/1/2016,0,22.38888889
8/1/2016,0,21.66666667
9/1/2016,0,20.83333333
10/1/2016,5.72,16
11/1/2016,1.93,13.33333333
12/1/2016,2.86,8.666666667
1/1/2017,13.88,7.611111111
2/1/2017,8.81,9.833333333
3/1/2017,2.73,12.38888889
4/1/2017,2.46,12.33333333
5/1/2017,0.01,16.44444444
6/1/2017,0.08,20.27777778
7/1/2017,0,24.05555556
8/1/2017,0,23
9/1/2017,0.04,21.44444444
10/1/2017,0.2,18.33333333
11/1/2017,3.37,13.22222222
12/1/2017,0.09,11.44444444
1/1/2018,4.05,11.27777778
2/1/2018,0.25,10.55555556
3/1/2018,5.96,10
4/1/2018,1.93,12.94444444
5/1/2018,0.02,14.61111111
6/1/2018,0,19.11111111
7/1/2018,0,24.22222222
8/1/2018,0,22
9/1/2018,0,20.38888889
10/1/2018,0.04,17.88888889
11/1/2018,4.95,15.44444444
12/1/2018,2.1,9.611111111
1/1/2019,6.22,10.33333333
2/1/2019,8.88,6.666666667
3/1/2019,3.93,10.16666667
4/1/2019,0.24,14.72222222
5/1/2019,2.4,13.61111111
6/1/2019,0,20.55555556
7/1/2019,0.01,21.72222222
8/1/2019,0,22.55555556
9/1/2019,0.13,20.27777778
10/1/2019,0,17.16666667
11/1/2019,1.18,14.88888889
12/1/2019,5.97,9.611111111
1/1/2020,1.34,9.388888889
2/1/2020,0,12.11111111
3/1/2020,3.68,9.944444444
4/1/2020,2.34,13.27777778
5/1/2020,0.65,17.22222222
6/1/2020,0,20.27777778
7/1/2020,0,22
